LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,10027002073,9,4,010027002073,163,162
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,10027002443,11,5,010027002443,35,0
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,10033000087,10,10,010033000087,253,185
AL,ALABAMA,0100330,Bessemer City,01264,New Horizon Alternative School,10033001264,1,1,010033001264,12,10
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,10036000092,4,4,010036000092,115,109
AL,ALABAMA,0100360,Bibb County,00099,West Blocton High School,10036000099,4,4,010036000099,91,91
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,10039000141,10,10,010039000141,285,113
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,10039000164,9,6,010039000164,212,180
AL,ALABAMA,0100390,Birmingham City,00165,Parker High School,10039000165,6,2,010039000165,101,83
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,10039000176,7,7,010039000176,167,167
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,10039000192,9,8,010039000192,158,150
AL,ALABAMA,0100390,Birmingham City,00198,Woodlawn High SchoolMagnet,10039000198,6,6,010039000198,188,122
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,10039001468,7,0,010039001468,225,141
AL,ALABAMA,0100420,Blount County,00203,Appalachian  School,10042000203,2,2,010042000203,45,44
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,10042000206,5,5,010042000206,94,94
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,10042000208,11,11,010042000208,61,61
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,10042000209,8,8,010042000209,123,109
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,10042000210,7,7,010042000210,108,107
